0.638	0.503
0.601	0.495
0.604	0.678
0.651	0.731
0.676	0.804
0.677	0.836
0.733	0.763
0.805	0.815
0.881	0.857
0.799	0.751
0.756	0.599
0.640	0.499
0.584	0.521
0.645	0.553
0.718	0.693
1.186	1.392
1.444	1.531
1.464	1.420
1.379	1.300
1.284	1.184
1.498	1.360
1.459	1.374
1.396	1.225
1.304	1.071
1.185	0.936
1.115	0.907
1.024	0.804
0.906	0.697
0.840	0.647
0.861	0.675
0.952	0.782
1.100	1.040
1.189	1.257
1.288	1.218
1.218	1.093
1.184	1.006
0.867	0.885
0.851	0.748
0.839	0.640
0.719	0.536
0.670	0.460
0.601	0.451
0.587	0.428
0.636	0.509
0.831	0.681
0.808	0.734
0.735	0.724
0.716	0.693
0.757	0.637
0.744	0.605
0.827	0.660
0.799	0.672
0.650	0.546
0.513	0.446
0.508	0.493
0.661	0.730
1.048	1.257
1.333	1.430
1.351	1.425
1.291	1.301
1.252	1.237
1.216	1.204
1.192	1.185
1.087	1.015
0.932	0.874
0.767	0.752
0.748	0.781
0.847	0.950
1.061	1.203
1.285	1.525
1.394	1.488
1.385	1.305
1.351	1.347
1.416	1.376
1.370	1.401
1.339	1.328
1.244	1.211
1.157	1.124
1.070	1.031
1.093	1.161
1.250	1.240
1.513	1.628
1.704	1.856
1.802	1.864
1.791	1.712
1.698	1.635
1.543	1.476
1.375	1.341
1.168	1.051
0.983	0.902
0.877	0.754
0.817	0.714
0.797	0.628
0.847	0.818
1.243	1.238
1.305	1.242
1.236	1.106
1.164	0.952
1.016	0.792
0.857	0.669
0.801	0.634
0.685	0.503
0.509	0.352
0.430	0.366
0.457	0.388
0.595	0.568
0.989	0.884
0.983	0.920
0.844	0.875
0.860	0.812
0.772	0.778
0.875	0.723
0.916	0.671
